"odhf_facility_type","hospital_id","survey_month","survey_year","month_0","month_1","month_2","month_3","month_4","month_5","month_6","month_7","month_8","month_9","month_10","month_11","month_12","month_13","month_14","month_15","month_16","month_17","month_18","month_19","month_20","month_21","month_22","month_23","month_24","geometry"
"Hospitals",732,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12639808.4734015, 7030275.48228009)
"Hospitals",764,9,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12734968.4038972, 7192859.49225952)
"Hospitals",779,8,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-14210073.0396808, 7412408.30201983)
"Hospitals",785,4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-13093556.2468233, 7745415.87761391)
"Hospitals",793,4,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-10859296.3322019, 6293104.75008164)
"Hospitals",795,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,c(-10823181.9850751, 6604530.85614733)
"Hospitals",796,7,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,c(-11047428.4535045, 6340424.3093792)
"Hospitals",797,6,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-10744557.195707, 6456304.96691779)
"Hospitals",799,7,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,c(-10762375.9730149, 6365203.96482635)
"Hospitals",801,5,2018,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,c(-11248480.5486796, 6520338.14400887)
"Hospitals",802,6,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,c(-11138590.845426, 6312992.31792657)
"Hospitals",804,10,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,c(-11124924.4854998, 6418652.50245012)
"Hospitals",808,1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12323325.892034, 6452263.17683157)
"Hospitals",809,11,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,c(-10815614.7977855, 6429504.55654853)
"Hospitals",810,12,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-11060281.4798352, 6424119.10760939)
"Hospitals",811,2,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-10910261.9907066, 6359608.65356225)
"Hospitals",812,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,c(-11058600.6668437, 6291004.80656952)
"Hospitals",815,7,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-10482984.8901325, 8131184.75391414)
"Hospitals",816,11,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-10805185.1856375, 6431310.92082103)
"Hospitals",818,1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-11198931.0188131, 7212847.15662606)
"Hospitals",820,7,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-11138736.3066047, 6647469.70655061)
"Hospitals",822,10,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-11187421.5630766, 6307450.41518199)
"Hospitals",823,2,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-10796681.9350138, 6350705.43348623)
"Hospitals",825,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12818129.5515706, 7161107.60363503)
"Hospitals",826,8,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,c(-10835362.485834, 6468879.55742243)
"Hospitals",828,9,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,c(-10921183.2231218, 6597639.6841747)
"Hospitals",831,8,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-11121821.232055, 6532681.23426355)
"Hospitals",832,7,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12637292.1631038, 7079804.86787853)
"Hospitals",838,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-11340853.6959108, 7316271.3835246)
"Hospitals",841,4,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-10542888.1901779, 7627739.86761441)
"Hospitals",842,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12323370.9764278, 6452293.15899611)
"Hospitals",843,11,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-11052588.4124654, 6370394.48740831)
"Hospitals",846,2,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-10828801.1480674, 6425926.68966922)
"Hospitals",847,5,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-11209898.3263655, 6653004.36416992)
"Hospitals",849,8,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12476282.7017745, 6300054.87806793)
"Hospitals",850,3,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-11197627.5788954, 6477877.498203)
"Hospitals",852,4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-11190583.9494349, 6357516.51653094)
"Hospitals",853,2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,c(-10815740.2771155, 6429784.77724757)
"Hospitals",855,5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12865714.0141259, 6653042.93334899)
"Hospitals",856,7,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-10758768.4534087, 6388956.20385078)
"Hospitals",858,12,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-10797321.320773, 6555739.14237276)
"Hospitals",863,2,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-10948487.1000942, 6653170.11348571)
"Hospitals",864,9,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-11133202.3141547, 7651202.68502132)
"Hospitals",865,12,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12647265.5768466, 7079961.53020666)
"Hospitals",869,7,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-10996968.7420855, 6345138.03450416)
"Hospitals",872,6,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-11248170.7020089, 7730920.37877062)
"Hospitals",873,12,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,c(-10995584.5955369, 6439739.24806651)
"Hospitals",874,11,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,c(-10816183.8852864, 6430035.05324884)
"Hospitals",876,7,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-11074773.8303831, 6581140.68680147)
"Hospitals",878,4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-11242887.3008647, 6320885.3751743)
"Hospitals",880,3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,c(-11114133.8419793, 6488225.09945291)
"Hospitals",881,11,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,c(-10815733.7983212, 6425338.37623132)
"Hospitals",882,1,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12625575.2301004, 7095563.54885313)
"Hospitals",883,8,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-10838142.7346444, 6335022.5285441)
"Hospitals",884,5,2018,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,c(-11072164.9690607, 6486926.72328057)
"Hospitals",885,9,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-10890623.5627383, 7167126.09973405)
"Hospitals",886,3,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-10971923.1924909, 6365736.6061509)
"Hospitals",890,1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-12396787.7279469, 7702363.17309196)
"Hospitals",891,4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c(-10969878.9213619, 6315977.38604621)
